엔드캡,주테마,매대명,선반ID,단,현재 운영상태,브랜드,제조·공급,소구점,채널등급,조치,비고
G5-ER,더마·세정·선케어,PDRN Guide,G5-ER/S1,S1,안내,리쥬비,파마리서치,PDRN 의약품·화장품 구분,3,유지(안내),개구 100mm·상품높이 80mm. 상품 진열 부적합
G5-ER,더마·세정·선케어,PDRN Guide,G5-ER/S2,S2,테마 진열,리쥬비,파마리서치,PDRN 의약품·화장품 구분,3,브랜드존 편입,리쥬비 블록(기존 테마 진열 유지)
G5-ER,더마·세정·선케어,PDRN Guide,G5-ER/S3,S3,테마 진열,리쥬비,파마리서치,PDRN 의약품·화장품 구분,3,브랜드존 편입,리쥬비 블록(기존 테마 진열 유지)
G5-ER,더마·세정·선케어,PDRN Guide,G5-ER/S4,S4,확장 여유,리쥬비,파마리서치,PDRN 의약품·화장품 구분,3,브랜드존 신설,리쥬비 블록
G5-ER,더마·세정·선케어,PDRN Guide,G5-ER/S5,S5,확장 여유,리쥬비,파마리서치,PDRN 의약품·화장품 구분,3,브랜드존 신설,리쥬비 블록
G5-EL,더마·세정·선케어,Skin Care Finder,G5-EL/S1,S1,안내,프로캄,한미사이언스,EGF·멜라·아크페어,3,유지(안내),개구 100mm·상품높이 80mm. 상품 진열 부적합
G5-EL,더마·세정·선케어,Skin Care Finder,G5-EL/S2,S2,테마 진열,프로캄,한미사이언스,EGF·멜라·아크페어,3,브랜드존 편입,프로캄 블록(기존 테마 진열 유지)
G5-EL,더마·세정·선케어,Skin Care Finder,G5-EL/S3,S3,테마 진열,프로캄,한미사이언스,EGF·멜라·아크페어,3,브랜드존 편입,프로캄 블록(기존 테마 진열 유지)
G5-EL,더마·세정·선케어,Skin Care Finder,G5-EL/S4,S4,확장 여유,프로캄,한미사이언스,EGF·멜라·아크페어,3,브랜드존 신설,프로캄 블록
G5-EL,더마·세정·선케어,Skin Care Finder,G5-EL/S5,S5,확장 여유,프로캄,한미사이언스,EGF·멜라·아크페어,3,브랜드존 신설,프로캄 블록
G2-ER,피부약·상처 보호,Wound Cover,G2-ER/S1,S1,안내,케어리브,니치반,습윤 밴드·드레싱,3,유지(안내),개구 100mm·상품높이 80mm. 상품 진열 부적합
