선반ID,모듈,단,공급코드,상품명,규격,운영 상품군,중요도,취급 권장,페이싱,배정 근거,조건
W4/S5,W4,S5,pd0002494,(논현)광동원탕,100ml,자양강장·한방 상담약,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
RF1/S2,RF1,S2,pd0000380,CJ제일제당 맥스셋 레몬비타 120ML,120ML*1EA,건강즙·차·음료,N,초도 비권장,1,냉장·상온 음료 → 오픈 냉장고,초도 비권장 판정 재확인
RF1/S2,RF1,S2,pd0000379,CJ제일제당 맥스셋 레몬비타 120ML*10입,120ML*10EA,건강즙·차·음료,N,초도 비권장,1,냉장·상온 음료 → 오픈 냉장고,초도 비권장 판정 재확인
RF1/S2,RF1,S2,pd0000368,CJ제일제당 얼티브 아몬드두유 저당 190ML,190ML,건강즙·차·음료,N,초도 비권장,1,냉장·상온 음료 → 오픈 냉장고,초도 비권장 판정 재확인
RF1/S2,RF1,S2,pd0000367,CJ제일제당 얼티브 아몬드두유 저당 190ML 24개입,190ML*24EA,건강즙·차·음료,N,초도 비권장,1,냉장·상온 음료 → 오픈 냉장고,초도 비권장 판정 재확인
RF1/S2,RF1,S2,pd0000369,CJ제일제당 얼티브 파로두유 저당 190ML,190ML*24EA,건강즙·차·음료,N,초도 비권장,1,냉장·상온 음료 → 오픈 냉장고,초도 비권장 판정 재확인
RF1/S2,RF1,S2,pd0000370,CJ제일제당 얼티브 파로두유 저당 190ML,190ML,건강즙·차·음료,N,초도 비권장,1,냉장·상온 음료 → 오픈 냉장고,초도 비권장 판정 재확인
RF1/S2,RF1,S2,pd0000378,CJ제일제당 햇반/레드빈 호박차 500ML,500ML,건강즙·차·음료,N,초도 비권장,1,냉장·상온 음료 → 오픈 냉장고,초도 비권장 판정 재확인
RF1/S2,RF1,S2,pd0000376,CJ제일제당 햇반/루피니빈 보리차 500ML,500ML,건강즙·차·음료,N,초도 비권장,1,냉장·상온 음료 → 오픈 냉장고,초도 비권장 판정 재확인
RF1/S2,RF1,S2,pd0000377,CJ제일제당 햇반/파로누룽지식혜 340ML,340ML,건강즙·차·음료,N,초도 비권장,1,냉장·상온 음료 → 오픈 냉장고,초도 비권장 판정 재확인
RF1/S2,RF1,S2,pd0000375,CJ제일제당 햇반/파로누룽지차 500ML,500ML,건강즙·차·음료,N,초도 비권장,1,냉장·상온 음료 → 오픈 냉장고,초도 비권장 판정 재확인
L2/S2,L2,S2,pd0002018,겔포스엘현탁액,20g*18포,소화·위장 상담약,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
